"Date"	2019-12-25 01:43:09 GMT+05:30
"Average Count [samples]"	400
"Average Function"	Quadratic Mean
"Digitiser Firmware Version"	01.02-00/00
"Digitiser Hardware Version"	04_01/01
"Digitiser Name"	FGM3D TD
"Digitiser Serial Number"	000068
"Profile Settings"	Name: FGM3D/100 (Unit: T), Transformer: [UnitConverter[Factor: 1E-05, Units: V => T]], Unit: T
"Recording Software Copyright"	Copyright ©  SENSYS 2012 - 2014
"Recording Software Name"	SENSYS FGM3D TD Application
"Recording Software Vendor"	SENSYS GmbH
"Recording Software Version"	01.00-01/00
"Samplerate [Hz]"	400

"Timestamp [ms]"	"X-Axis [T]"	"Y-Axis [T]"	"Z-Axis [T]"	"Absolute Value [T]"
1577238387567	4,09536618E-5	1,48767528E-6	4,76881103E-6	4,12572072E-5
1577238388567	4,09536660E-5	1,48769457E-6	4,76880390E-6	4,12572113E-5
1577238389567	4,09536528E-5	1,48770923E-6	4,76880980E-6	4,12571994E-5
1577238390567	4,09536405E-5	1,48771381E-6	4,76874128E-6	4,12571795E-5
1577238391567	4,09536368E-5	1,48768101E-6	4,76875650E-6	4,12571764E-5
1577238392566	4,09536195E-5	1,48771930E-6	4,76873728E-6	4,12571583E-5
1577238393566	4,09536483E-5	1,48772158E-6	4,76870015E-6	4,12571828E-5
1577238394566	4,09536044E-5	1,48773405E-6	4,76872756E-6	4,12571427E-5
1577238395567	4,09536666E-5	1,48772379E-6	4,76871538E-6	4,12572027E-5
1577238396567	4,09536329E-5	1,48769586E-6	4,76867805E-6	4,12571640E-5
1577238397565	4,09536138E-5	1,48766601E-6	4,76867497E-6	4,12571436E-5
1577238398565	4,09536074E-5	1,48767631E-6	4,76869562E-6	4,12571399E-5
1577238399571	4,09536085E-5	1,48769709E-6	4,76870763E-6	4,12571432E-5
1577238400565	4,09536473E-5	1,48764959E-6	4,76868984E-6	4,12571779E-5
1577238401564	4,09536403E-5	1,48764138E-6	4,76865883E-6	4,12571671E-5
1577238402567	4,09536604E-5	1,48765510E-6	4,76866039E-6	4,12571877E-5
1577238403567	4,09536468E-5	1,48764535E-6	4,76869062E-6	4,12571773E-5
1577238404565	4,09536395E-5	1,48763843E-6	4,76868395E-6	4,12571691E-5
1577238405567	4,09536709E-5	1,48769453E-6	4,76868148E-6	4,12572020E-5
1577238406567	4,09536951E-5	1,48770432E-6	4,76870695E-6	4,12572293E-5
1577238407567	4,09536716E-5	1,48771975E-6	4,76874465E-6	4,12572109E-5
1577238408565	4,09536630E-5	1,48773153E-6	4,76869304E-6	4,12571968E-5
1577238409565	4,09536749E-5	1,48772240E-6	4,76872572E-6	4,12572121E-5
1577238410565	4,09536538E-5	1,48767203E-6	4,76870599E-6	4,12571871E-5
1577238411566	4,09536489E-5	1,48771881E-6	4,76867814E-6	4,12571807E-5
1577238412566	4,09536882E-5	1,48772341E-6	4,76866135E-6	4,12572180E-5
1577238413566	4,09536794E-5	1,48774709E-6	4,76863600E-6	4,12572071E-5
1577238414567	4,09536848E-5	1,48773816E-6	4,76866452E-6	4,12572155E-5
1577238415571	4,09536768E-5	1,48770736E-6	4,76865299E-6	4,12572051E-5
1577238416566	4,09536816E-5	1,48770849E-6	4,76867661E-6	4,12572126E-5
1577238417567	4,09536853E-5	1,48769415E-6	4,76867287E-6	4,12572153E-5
1577238418571	4,09536656E-5	1,48772437E-6	4,76862276E-6	4,12571910E-5
1577238419571	4,09536626E-5	1,48766769E-6	4,76862614E-6	4,12571864E-5
1577238420571	4,09536684E-5	1,48763331E-6	4,76860713E-6	4,12571888E-5
1577238421571	4,09536397E-5	1,48763442E-6	4,76863640E-6	4,12571637E-5
1577238422571	4,09536466E-5	1,48763880E-6	4,76864412E-6	4,12571716E-5
1577238423566	4,09536513E-5	1,48766992E-6	4,76861715E-6	4,12571742E-5
1577238424566	4,09536302E-5	1,48769917E-6	4,76862604E-6	4,12571554E-5
1577238425567	4,09536195E-5	1,48769861E-6	4,76861324E-6	4,12571433E-5
1577238426567	4,09536157E-5	1,48766035E-6	4,76862892E-6	4,12571399E-5
1577238427567	4,09536501E-5	1,48763450E-6	4,76863185E-6	4,12571735E-5
1577238428565	4,09536389E-5	1,48765096E-6	4,76861290E-6	4,12571608E-5
1577238429564	4,09536127E-5	1,48765221E-6	4,76861759E-6	4,12571353E-5
1577238430565	4,09535968E-5	1,48769494E-6	4,76858748E-6	4,12571176E-5
1577238431565	4,09536361E-5	1,48764915E-6	4,76858868E-6	4,12571551E-5
1577238432565	4,09536408E-5	1,48763609E-6	4,76860983E-6	4,12571618E-5
1577238433565	4,09536258E-5	1,48769046E-6	4,76862293E-6	4,12571503E-5
1577238434565	4,09536099E-5	1,48773758E-6	4,76862065E-6	4,12571360E-5
1577238435565	4,09536312E-5	1,48771365E-6	4,76864835E-6	4,12571595E-5
1577238436566	4,09536440E-5	1,48771973E-6	4,76861894E-6	4,12571690E-5
1577238437566	4,09536379E-5	1,48771527E-6	4,76863292E-6	4,12571644E-5
1577238438565	4,09536586E-5	1,48767981E-6	4,76860488E-6	4,12571804E-5
1577238439565	4,09536774E-5	1,48769483E-6	4,76862877E-6	4,12572024E-5
1577238440567	4,09536992E-5	1,48764912E-6	4,76863102E-6	4,12572226E-5
1577238441567	4,09536339E-5	1,48765512E-6	4,76866186E-6	4,12571616E-5
1577238442567	4,09536302E-5	1,48762298E-6	4,76865161E-6	4,12571556E-5
1577238443565	4,09536496E-5	1,48759415E-6	4,76864991E-6	4,12571736E-5
1577238444567	4,09536424E-5	1,48756772E-6	4,76866057E-6	4,12571668E-5
1577238445567	4,09536562E-5	1,48753645E-6	4,76862109E-6	4,12571748E-5
1577238446567	4,09536451E-5	1,48754251E-6	4,76863570E-6	4,12571656E-5
1577238447567	4,09536583E-5	1,48751985E-6	4,76862154E-6	4,12571763E-5
1577238448568	4,09536711E-5	1,48754256E-6	4,76862131E-6	4,12571897E-5
1577238449568	4,09536667E-5	1,48753220E-6	4,76861946E-6	4,12571848E-5
1577238450568	4,09536571E-5	1,48751192E-6	4,76863050E-6	4,12571758E-5
1577238451568	4,09536483E-5	1,48752206E-6	4,76864434E-6	4,12571691E-5
1577238452568	4,09536219E-5	1,48755815E-6	4,76865009E-6	4,12571448E-5
1577238453568	4,09536302E-5	1,48758001E-6	4,76863578E-6	4,12571522E-5
1577238454568	4,09535758E-5	1,48761277E-6	4,76864090E-6	4,12571000E-5
1577238455566	4,09535841E-5	1,48761027E-6	4,76864128E-6	4,12571081E-5
1577238456567	4,09536179E-5	1,48761101E-6	4,76863219E-6	4,12571407E-5
1577238457567	4,09535863E-5	1,48764211E-6	4,76863728E-6	4,12571111E-5
1577238458568	4,09535730E-5	1,48766259E-6	4,76863368E-6	4,12570981E-5
1577238459567	4,09535502E-5	1,48765715E-6	4,76860437E-6	4,12570720E-5
1577238460565	4,09535290E-5	1,48764021E-6	4,76860160E-6	4,12570500E-5
1577238461579	4,09535454E-5	1,48764701E-6	4,76858437E-6	4,12570645E-5
1577238462571	4,09535254E-5	1,48766615E-6	4,76855939E-6	4,12570424E-5
1577238463571	4,09534966E-5	1,48766557E-6	4,76855938E-6	4,12570139E-5
1577238464572	4,09535354E-5	1,48765479E-6	4,76853989E-6	4,12570497E-5
1577238465565	4,09535401E-5	1,48765106E-6	4,76854717E-6	4,12570551E-5
1577238466565	4,09535508E-5	1,48768755E-6	4,76853584E-6	4,12570657E-5
1577238467565	4,09535694E-5	1,48767780E-6	4,76856287E-6	4,12570870E-5
1577238468571	4,09535323E-5	1,48770976E-6	4,76855233E-6	4,12570501E-5
1577238469567	4,09535789E-5	1,48770394E-6	4,76855910E-6	4,12570969E-5
1577238470565	4,09535639E-5	1,48771225E-6	4,76856963E-6	4,12570835E-5
1577238471565	4,09535989E-5	1,48771302E-6	4,76856302E-6	4,12571175E-5
1577238472565	4,09535985E-5	1,48773964E-6	4,76859281E-6	4,12571215E-5
1577238473565	4,09535772E-5	1,48770333E-6	4,76856959E-6	4,12570964E-5
1577238474567	4,09536069E-5	1,48772347E-6	4,76857107E-6	4,12571268E-5
1577238475567	4,09536261E-5	1,48770955E-6	4,76852961E-6	4,12571405E-5
1577238476567	4,09535757E-5	1,48775876E-6	4,76858185E-6	4,12570984E-5
